0.24	0.014	1
0.42	0.76	-1
0.44	0.4	-1
0.33	0.068	1
0.32	0.72	-1
0.031	0.9	1
0.02	0.87	1
0.38	0.38	-1
0.49	0.32	-1
0.16	0.42	1
0.024	0.7	1
0.004	0.32	1
0.4	0.62	-1
0.12	0.22	1
0.32	0.87	-1
0.25	0.45	1
0.36	0.42	-1
0.48	0.2	-1
0.033	0.91	1
0.04	0.15	1
0.096	0.58	1
0.041	0.58	1
0.33	0.53	-1
0.22	0.84	-1
0.46	0.13	-1
0.13	0.013	1
0.41	0.11	1
0.32	0.42	-1
0.00026	0.26	1
0.36	0.77	-1
0.29	0.018	1
0.37	0.97	-1
0.017	0.53	1
0.033	1	-1
0.16	0.42	1
0.41	0.74	-1
0.33	0.99	-1
0.085	0.59	1
0.21	0.17	1
0.1	0.58	1
0.25	0.16	1
0.38	0.71	-1
0.42	0.42	-1
0.2	0.84	-1
0.38	0.61	-1
0.32	0.23	1
0.19	0.065	1
0.4	0.22	-1
0.28	0.18	1
0.39	0.55	-1
0.24	0.54	-1
0.48	0.9	-1
0.0042	0.7	1
0.44	0.47	-1
0.21	0.98	-1
0.42	0.12	1
0.28	0.18	1
0.15	0.9	-1
0.4	0.086	1
0.046	0.84	1
0.046	0.58	1
0.17	0.29	1
0.014	0.42	1
0.48	0.67	-1
0.19	0.51	1
0.36	0.96	-1
0.035	0.6	1
0.00022	0.52	1
0.17	0.16	1
0.069	0.012	1
0.49	0.99	-1
0.23	0.74	-1
0.33	0.2	1
0.19	0.63	-1
0.14	0.74	-1
0.41	0.53	-1
0.14	0.0074	1
0.35	0.78	-1
0.43	0.88	-1
0.25	0.84	-1
0.34	0.59	-1
0.23	0.11	1
0.39	0.14	1
0.37	0.19	1
0.46	0.12	-1
0.05	0.42	1
0.061	0.11	1
0.25	0.29	1
0.24	0.0078	1
0.4	0.93	-1
0.17	0.18	1
0.19	0.35	1
0.39	0.56	-1
0.14	0.57	1
0.41	0.47	-1
0.21	0.53	1
0.28	0.45	-1
0.42	0.6	-1
0.081	0.47	1
0.42	0.55	-1
0.46	0.58	-1
0.31	0.45	-1
0.021	0.7	1
0.099	0.56	1
0.15	0.86	-1
0.27	0.23	1
0.18	0.47	1
0.15	0.13	1
0.4	0.23	-1
0.46	0.58	-1
0.074	0.77	1
0.34	0.41	-1
0.36	0.21	1
0.35	0.98	-1
0.44	0.5	-1
0.018	0.48	1
0.075	0.82	1
0.11	0.79	-1
0.5	0.16	-1
0.23	0.66	-1
0.34	0.32	1
0.16	0.55	1
0.25	0.94	-1
0.07	0.18	1
0.093	0.34	1
0.41	0.0077	1
0.39	0.69	-1
0.19	0.86	-1
0.44	0.7	-1
0.36	0.73	-1
0.18	0.48	1
0.48	0.99	-1
0.43	0.12	1
0.33	0.83	-1
0.18	0.32	1
0.057	0.91	-1
0.17	0.094	1
0.25	0.35	1
0.11	0.63	1
0.41	0.26	-1
0.44	0.43	-1
0.27	0.4	1
0.079	0.79	1
0.4	0.59	-1
0.41	0.056	1
0.29	0.93	-1
0.22	0.14	1
0.036	0.015	1
0.35	0.95	-1
0.17	0.024	1
0.42	0.21	-1
0.48	0.39	-1
0.28	0.72	-1
0.075	0.9	-1
0.35	0.53	-1
0.28	0.76	-1
0.36	0.069	1
0.43	0.15	-1
0.18	0.91	-1
0.31	0.65	-1
0.28	0.17	1
0.062	0.94	-1
0.11	0.24	1
0.32	0.79	-1
0.47	0.54	-1
0.33	0.43	-1
0.36	0.32	-1
0.26	0.9	-1
0.36	0.99	-1
0.26	0.65	-1
0.24	0.34	1
0.47	0.81	-1
0.35	0.16	1
0.37	0.49	-1
0.12	0.6	1
0.11	0.47	1
0.5	0.89	-1
0.15	0.71	-1
0.3	0.046	1
0.17	0.23	1
0.47	0.51	-1
0.24	0.5	1
0.35	0.88	-1
0.45	0.7	-1
0.41	0.046	1
0.02	0.54	1
0.45	0.2	-1
0.49	0.82	-1
0.13	0.9	-1
0.0075	0.36	1
0.33	0.74	-1
0.45	0.23	-1
0.21	0.065	1
0.46	0.29	-1
0.42	0.42	-1
0.49	0.45	-1
0.41	0.39	-1
0.4	0.98	-1
0.081	0.23	1
0.34	0.11	1
0.047	0.37	1
0.13	0.57	1
0.23	0.55	-1
0.32	0.65	-1
0.05	0.28	1
0.11	0.0039	1
0.38	0.21	1
0.29	0.15	1
0.15	0.14	1
0.47	0.81	-1
0.07	0.093	1
0.14	0.65	1
0.082	0.55	1
0.027	0.2	1
0.14	0.31	1
0.31	0.9	-1
0.037	0.9	1
0.44	0.26	-1
0.44	0.49	-1
0.3	0.75	-1
0.15	0.79	-1
0.34	0.11	1
0.49	0.31	-1
0.017	0.99	-1
0.27	0.84	-1
0.38	0.39	-1
0.44	0.83	-1
0.32	0.088	1
0.1	0.31	1
0.46	0.92	-1
0.056	0.42	1
0.29	0.52	-1
0.22	0.88	-1
0.37	0.48	-1
0.46	0.36	-1
0.27	0.047	1
0.29	0.22	1
0.016	0.081	1
0.35	1	-1
0.22	0.96	-1
0.24	0.55	-1
0.36	0.072	1
0.12	0.42	1
0.11	0.6	1
0.12	0.23	1
0.39	0.77	-1
0.14	0.11	1
0.17	0.063	1
0.28	0.5	-1
0.077	0.13	1
-0.33	0.96	-1
-0.39	0.7	-1
-0.2	0.33	1
-0.28	0.38	1
-0.45	0.3	-1
-0.45	0.089	1
-0.4	0.9	-1
-0.34	0.19	1
-0.35	0.39	-1
-0.12	0.52	1
-0.24	0.48	1
-0.051	0.95	-1
-0.31	0.25	1
-0.12	0.62	1
-0.087	0.68	1
-0.0049	0.87	1
-0.28	0.7	-1
-0.31	0.3	1
-0.5	0.41	-1
-0.25	0.4	1
-0.033	0.59	1
-0.43	0.058	1
-0.21	0.5	1
-0.037	0.34	1
-0.038	0.71	1
-0.42	0.68	-1
-0.067	0.41	1
-0.47	0.87	-1
-0.42	0.5	-1
-0.36	0.74	-1
-0.37	0.6	-1
-0.06	0.53	1
-0.44	0.27	-1
-0.17	0.87	-1
-0.28	0.95	-1
-0.039	0.96	-1
-0.1	0.71	1
-0.24	0.01	1
-0.21	0.36	1
-0.053	0.8	1
-0.39	0.4	-1
-0.067	0.98	-1
-0.41	0.035	1
-0.39	0.17	1
-0.13	0.11	1
-0.42	0.82	-1
-0.0078	0.065	1
-0.41	0.75	-1
-0.39	0.61	-1
-0.18	0.7	-1
